MODELO,SECTOR,HORIZONTE,MAE,MAPE,RMSE
ARIMA,CONSTRUCCIÓN,3,11725006.514602976,0.2438534091533637,11928678.662894499
ARIMA,CONSTRUCCIÓN,4,6783441.920825284,0.16087487441188864,7427901.904974426
ARIMA,CONSTRUCCIÓN,5,8955658.220790938,0.19142246598133142,10503911.592065128
ARIMA,AGROALIMENTARIA,1,1457015.2834459022,0.04537425766440568,1457015.2834459022
ARIMA,AGROALIMENTARIA,2,1743274.45623778,0.05527996320495146,1934448.3199385707
ARIMA,AGROALIMENTARIA,3,1135827.6244635407,0.03604920230816433,1532022.3239343958
ARIMA,AGROALIMENTARIA,4,1382346.807279449,0.04739969603060033,1479419.6115572855
ARIMA,AGROALIMENTARIA,5,659073.3437620528,0.022746795195106584,730715.6581958884
SUAVIZADO EXPONENCIAL,TURISMO,1,6635405.400515694,0.20355349247664076,6635405.400515694
SUAVIZADO EXPONENCIAL,TURISMO,2,985258.846161982,0.03080196274221436,1104648.3190823272
SUAVIZADO EXPONENCIAL,TURISMO,3,3128601.215745365,0.13880093973928354,4412057.872812224
SUAVIZADO EXPONENCIAL,TURISMO,4,9856192.501273891,0.742174066655591,12307732.512967257
SUAVIZADO EXPONENCIAL,TURISMO,5,7917890.43126929,0.5953497809419716,11031535.476052733
SUAVIZADO EXPONENCIAL,TRANSPORTE,1,4179403.952961255,0.1480791065291031,4179403.952961255
SUAVIZADO EXPONENCIAL,TRANSPORTE,2,8118747.994291145,0.2967475882179562,8218931.625527832
SUAVIZADO EXPONENCIAL,TRANSPORTE,3,7816898.063333452,0.29379742460748887,8954915.18997229
SUAVIZADO EXPONENCIAL,TRANSPORTE,4,3576841.9498017747,0.20106564798534252,4923934.5988477655
SUAVIZADO EXPONENCIAL,TRANSPORTE,5,3005979.183425233,0.16080066053143086,4013065.862935004
SUAVIZADO EXPONENCIAL,TECN. INFORMACIÓN,1,2878586.6808201894,0.10985987099172632,2878586.6808201894
SUAVIZADO EXPONENCIAL,TECN. INFORMACIÓN,2,22947246.538637888,0.8995065468793665,23725495.1875457
SUAVIZADO EXPONENCIAL,TECN. INFORMACIÓN,3,4690130.624182932,0.19060644965836415,5195577.802414074
SUAVIZADO EXPONENCIAL,TECN. INFORMACIÓN,4,1815188.672157431,0.08408732590974215,1840468.7168685219
SUAVIZADO EXPONENCIAL,TECN. INFORMACIÓN,5,1541684.8756152422,0.06997373033433363,1749796.574434103
SUAVIZADO EXPONENCIAL,ESPAÑA,1,8604230.981171846,0.012289932997883703,8604230.981171846
SUAVIZADO EXPONENCIAL,ESPAÑA,2,33547404.76940781,0.04869829889756888,33624920.57905863
SUAVIZADO EXPONENCIAL,ESPAÑA,3,44941664.49332877,0.06621598445172637,46842195.096553676
SUAVIZADO EXPONENCIAL,ESPAÑA,4,113870554.38270968,0.1853264697724144,116923402.02090468
SUAVIZADO EXPONENCIAL,ESPAÑA,5,47147630.13698902,0.08038071405662228,57858747.23059107
SUAVIZADO EXPONENCIAL,CONSTRUCCIÓN,1,5640109.441944547,0.12115980425218724,5640109.441944547
SUAVIZADO EXPONENCIAL,CONSTRUCCIÓN,2,4658543.145081151,0.1001441746865184,5021831.965198427
SUAVIZADO EXPONENCIAL,CONSTRUCCIÓN,3,3685051.4022025242,0.07441359950353879,5149370.397592176
SUAVIZADO EXPONENCIAL,CONSTRUCCIÓN,4,7097132.502222473,0.16762673648499696,7849173.104514972
SUAVIZADO EXPONENCIAL,CONSTRUCCIÓN,5,4529417.945772325,0.10638735865388431,4890546.835273614
SUAVIZADO EXPONENCIAL,AGROALIMENTARIA,1,589034.1112984642,0.018343654896996197,589034.1112984642
SUAVIZADO EXPONENCIAL,AGROALIMENTARIA,2,650302.92812814,0.02047287804733061,789888.5512856031
SUAVIZADO EXPONENCIAL,AGROALIMENTARIA,3,841666.9974980628,0.0288331013536379,1036975.9497747452
SUAVIZADO EXPONENCIAL,AGROALIMENTARIA,4,1532731.8318052823,0.05216772401357147,1588723.0236182364
SUAVIZADO EXPONENCIAL,AGROALIMENTARIA,5,1320390.5786947855,0.04494765187587132,1519422.433382663
PCA + REGRESIÓN,TURISMO,1,1500733.4460961446,0.04603781016991566,1500733.4460961446
PCA + REGRESIÓN,TURISMO,2,1814646.1238603946,0.05757307730444415,1826920.7686317256
PCA + REGRESIÓN,TURISMO,3,1698282.3811348479,0.05899817933045323,1791527.3191806225
PCA + REGRESIÓN,TURISMO,4,6012774.889627687,0.32689212331814044,6033271.920399472
PCA + REGRESIÓN,TURISMO,5,5436521.216461535,0.2795832712216141,5833599.378297851
PCA + REGRESIÓN,TRANSPORTE,1,2670346.1556810886,0.0946121689377525,2670346.1556810886
PCA + REGRESIÓN,TRANSPORTE,2,5405675.025903389,0.19685734391167717,5583276.364366219
PCA + REGRESIÓN,TRANSPORTE,3,3737256.1247440823,0.13997269183549174,4361803.739410219
PCA + REGRESIÓN,TRANSPORTE,4,4458311.685917894,0.22047007837233792,4671204.013562026
PCA + REGRESIÓN,TRANSPORTE,5,3020492.0965680284,0.15704003591591442,3784472.2599488436
PCA + REGRESIÓN,TECN. INFORMACIÓN,1,1113309.978172481,0.04248893784952185,1113309.978172481
PCA + REGRESIÓN,TECN. INFORMACIÓN,2,945083.5883339774,0.038076769421358514,1062912.6596028614
PCA + REGRESIÓN,TECN. INFORMACIÓN,3,1005821.9276939979,0.040846829969103896,1172262.6638379355
PCA + REGRESIÓN,TECN. INFORMACIÓN,4,859659.9279497424,0.03995259693060384,867985.7016663975
PCA + REGRESIÓN,TECN. INFORMACIÓN,5,1429195.2302050262,0.06145266905081581,1791762.4316105652
PCA + REGRESIÓN,ESPAÑA,1,42285726.094337344,0.060399208436346496,42285726.094337344
PCA + REGRESIÓN,ESPAÑA,2,37318242.832193434,0.05390910851380984,39542314.924321786
PCA + REGRESIÓN,ESPAÑA,3,38523723.04012505,0.05629784433459837,43581104.623847626
PCA + REGRESIÓN,ESPAÑA,4,97499892.64485127,0.1551914168547239,99296995.68211761
PCA + REGRESIÓN,ESPAÑA,5,43662196.53809569,0.07310519250988337,49259621.23796857
PCA + REGRESIÓN,CONSTRUCCIÓN,1,8491599.675416015,0.1824149983349661,8491599.675416015
PCA + REGRESIÓN,CONSTRUCCIÓN,2,5872187.895796604,0.1262568933077464,6047750.735487896
PCA + REGRESIÓN,CONSTRUCCIÓN,3,4977057.208722465,0.10284698145131078,5317815.476991124
PCA + REGRESIÓN,CONSTRUCCIÓN,4,4570240.533658434,0.11162628503370489,5088785.208462121
PCA + REGRESIÓN,CONSTRUCCIÓN,5,3967488.13473341,0.09811867852881212,4817977.590236768
PCA + REGRESIÓN,AGROALIMENTARIA,1,2964969.749922447,0.09233485944085135,2964969.749922447
PCA + REGRESIÓN,AGROALIMENTARIA,2,939657.257037919,0.029596032882815846,1134307.5570786356
PCA + REGRESIÓN,AGROALIMENTARIA,3,359899.0631617171,0.01214095856867152,405672.5879645685
PCA + REGRESIÓN,AGROALIMENTARIA,4,770075.1449888684,0.026736377326435547,889225.059279891
PCA + REGRESIÓN,AGROALIMENTARIA,5,1170568.9021365768,0.03841984015079608,1518299.0081141773
REGRESIÓN PLS,TURISMO,1,1402805.2806170061,0.04303368021976072,1402805.2806170061
REGRESIÓN PLS,TURISMO,2,1813059.5521799698,0.05748552740346675,1829211.3852802818
REGRESIÓN PLS,TURISMO,3,1770027.2198356166,0.061995762695787215,1848525.643505991
REGRESIÓN PLS,TURISMO,4,5906369.635437996,0.3090046342876612,6045784.95046098
REGRESIÓN PLS,TURISMO,5,5346665.030487191,0.2908608360822162,5972853.0705811605
REGRESIÓN PLS,TRANSPORTE,1,2301141.7371904105,0.08153100687923456,2301141.7371904105
REGRESIÓN PLS,TRANSPORTE,2,4418008.0405668635,0.16094548509343543,4552840.947711489
REGRESIÓN PLS,TRANSPORTE,3,3338381.7458462655,0.12506838534555417,3895007.1260778983
REGRESIÓN PLS,TRANSPORTE,4,4428133.027061313,0.21843185931211456,4626538.747573656
REGRESIÓN PLS,TRANSPORTE,5,3046368.495768138,0.15662186445929924,3735887.8064710377
REGRESIÓN PLS,TECN. INFORMACIÓN,1,1409474.1999408454,0.0537919023955007,1409474.1999408454
REGRESIÓN PLS,TECN. INFORMACIÓN,2,825325.3123690933,0.03333774980519529,957816.0928409232
REGRESIÓN PLS,TECN. INFORMACIÓN,3,854065.3032613123,0.03500382133673039,990610.7311515978
REGRESIÓN PLS,TECN. INFORMACIÓN,4,889069.9102794686,0.04201265172064743,906354.4255837679
REGRESIÓN PLS,TECN. INFORMACIÓN,5,1129068.940615967,0.04986128291145709,1317896.771264755
REGRESIÓN PLS,ESPAÑA,1,31046830.12786436,0.04434602730948111,31046830.12786436
REGRESIÓN PLS,ESPAÑA,2,35255745.527994156,0.05093226827859455,37322621.68627167
REGRESIÓN PLS,ESPAÑA,3,41723318.79485035,0.060963147029893895,47336417.26779772
REGRESIÓN PLS,ESPAÑA,4,94905903.94974586,0.14990542834988776,97594312.34407574
REGRESIÓN PLS,ESPAÑA,5,35698183.29335041,0.060356514354220445,41639033.523220465
REGRESIÓN PLS,CONSTRUCCIÓN,1,3161895.3768129647,0.06792326086290883,3161895.3768129647
REGRESIÓN PLS,CONSTRUCCIÓN,2,9819592.844439045,0.2111017611332463,10429205.015559483
REGRESIÓN PLS,CONSTRUCCIÓN,3,2725009.383771626,0.054928990075337004,3840603.51333784
REGRESIÓN PLS,CONSTRUCCIÓN,4,5645660.470652176,0.13556594140163059,6358387.242555561
REGRESIÓN PLS,CONSTRUCCIÓN,5,4181365.73913704,0.10478636180512621,5386865.487006412
REGRESIÓN PLS,AGROALIMENTARIA,1,2481287.3618725166,0.07727205978976762,2481287.3618725166
REGRESIÓN PLS,AGROALIMENTARIA,2,1099258.7620278727,0.03460992739953764,1333662.162465796
REGRESIÓN PLS,AGROALIMENTARIA,3,636206.2514794046,0.020853369729215573,674742.9778845272
REGRESIÓN PLS,AGROALIMENTARIA,4,1279282.7671582187,0.041678655145542545,1589707.2220043067
REGRESIÓN PLS,AGROALIMENTARIA,5,929541.5869947001,0.030913176537546418,1095185.6099847006
