SECTOR;AÑO;EMPLEADOS;VALOR AÑADIDO (MIL €);ACTIVO TOTAL (MIL €);ROE (%);PRODUCTIVIDAD HUMANA;ENDEUDAMIENTO (%);SOLVENCIA;LIQUIDEZ;GASTOS PERSONAL (MIL €) ;ACTIVO FIJO;RATIO K/L
TURISMO;2015;574898;21086340;86321458;7,37;36,67840208;78,36;0,9;0,58;14347347;14347426,84;24,95647374
TRANSPORTE;2015;290209;19016884;82763285;10,73;65,52823655;67,03;1,28;1,22;11235431;11235500,53;38,71520363
TECN. INFORMACIÓN;2015;234346;12813800;27381650;10,1;54,67897895;56,66;1,65;1,54;10791591;10791650,85;46,05007489
ESPAÑA;2015;7800727;463056041;4385206624;5,02;59,36062639;63,76;1,38;1,01;264703666;264703732,2;33,93321317
CONSTRUCCIÓN;2015;561439;24650747;391620747;1,96;43,90636739;69,85;1,45;0,87;19774915;19774987,17;35,22196921
AGROALIMENTARIA;2015;429940;22587034;130989815;4,58;52,53531656;59,06;1,4;0,93;12719461;12719522,39;29,58441269
TURISMO;2014;534363;17735044;82461401;5,69;33,18913173;80,32;0,84;0,53;13123151;13123232,69;24,55864775
TRANSPORTE;2014;275922;17043113;80544374;7,6;61,76786556;69,08;1,19;1,13;10964689;10964760,4;39,73862323
TECN. INFORMACIÓN;2014;217962;12553064;30714244;8;57,59290151;59,41;1,6;1,48;10277354;10277416,49;47,15233155
ESPAÑA;2014;7426564;452863130;4362015423;3,96;60,97882278;65,34;1,35;0,97;250470978;250471045,7;33,72637005
CONSTRUCCIÓN;2014;540227;19931860;362676269;1,01;36,89534214;71,28;1,44;0,81;19141513;19141586,53;35,43248769
AGROALIMENTARIA;2014;407700;21546043;125727874;3,99;52,84778759;60,24;1,35;0,89;12283447;12283509,48;30,12879441
TURISMO;2013;513446;16389885;79569778;4,36;31,92134129;81,92;0,81;0,49;12817391;12817474,22;24,96362659
TRANSPORTE;2013;256339;14757160;70365042;4,71;57,5689224;71,15;1,13;1,07;10141116;10141189,35;39,56163264
TECN. INFORMACIÓN;2013;213824;12267279;29881384;6,98;57,3709172;61,51;1,53;1,38;9635323;9635387,42;45,06223539
ESPAÑA;2013;7316399;402894556;4361901265;3,06;55,06732971;67,09;1,32;0,92;245266530;245266599,3;33,52285726
CONSTRUCCIÓN;2013;542717;14586303;401444799;0,35;26,87644389;73,36;1,44;0,76;19334005;19334080,56;35,62460833
AGROALIMENTARIA;2013;391741;20020504;122813239;3,36;51,10648107;61,88;1,31;0,85;11950295;11950359,04;30,50576539
